,Callsign,Service,Channel,City,State,Country,Facility ID Number (unique to each station),N (North) or S (South) Latitude,Degrees Latitude,Minutes Latitude,Seconds Latitude,W (West) or (E) East Longitude,Degrees Longitude,Minutes Longitude,Seconds Longitude,Licensee or Permittee,long_decimal,lat_decimal
22,WKRE,FM,201,ARGO,AL,US,169863,N,33,41,43.3,W,86,31,2.9,TBTA MINISTRIES,-86.51747222222222,33.695361111111104
23,WSJL,FM,201,BESSEMER,AL,US,88660,N,33,23,45.4,W,87,1,7.0,"ELIJAH RADIO, INC.",-87.01861111111111,33.395944444444446
24,WAYH,FM,201,HARVEST,AL,US,61509,N,34,49,8.3,W,86,44,19.0,HOPE MEDIA GROUP,-86.73861111111111,34.81897222222223
25,KBAP,FM,201,BATESVILLE,AR,US,175536,N,35,47,52.2,W,91,40,16.5,TONY V. HAMMACK MINISTRIES,-91.67125,35.79783333333333
26,KRQA,FM,201,BENTONVILLE,AR,US,77546,N,36,23,37.3,W,94,10,53.7,EDUCATIONAL MEDIA FOUNDATION,-94.18158333333334,36.39369444444444
27,KARH,FM,201,FORREST CITY,AR,US,81728,N,35,12,11.3,W,90,33,57.4,AMERICAN FAMILY ASSOCIATION,-90.56594444444444,35.203138888888894
28,KBPW,FM,201,HAMPTON,AR,US,91490,N,33,32,11.4,W,92,28,7.6,AMERICAN FAMILY ASSOCIATION,-92.46877777777777,33.5365
29,KCGS-FM,FM,201,MARSHALL,AR,US,765851,N,35,54,5,W,92,36,58,"ICHTHUS FAMILY HOPE, INC.",-92.61611111111111,35.90138888888889
31,-,FM,201,DEWEY-HUMBOLDT,AZ,US,768270,N,34,29,19,W,112,32,18,"ONDAS DE VIDA, INC.",-112.53833333333333,34.48861111111111
32,K201IB,FX,201,HEBER-OVERGAARD,AZ,US,146233,N,34,25,20.1,W,110,33,58.4,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL",-110.56622222222222,34.42225
33,K201ER,FX,201,HOLBROOK,AZ,US,89665,N,34,55,5.1,W,110,8,27.4,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL",-110.14094444444446,34.91808333333333
34,KUYI,FM,201,HOTEVILLA,AZ,US,85622,N,35,48,29.0,W,110,16,25.5,THE HOPI FOUNDATION,-110.27374999999999,35.808055555555555
35,KLTU,FM,201,MAMMOTH,AZ,US,79359,N,32,14,56.2,W,111,7,1.1,EDUCATIONAL MEDIA FOUNDATION,-111.11697222222222,32.24894444444445
36,-,FM,201,PAYSON,AZ,US,767421,N,34,17,16.1,W,111,11,36.4,"KPJM-LP, INC.",-111.19344444444445,34.28780555555555
37,KREE,FM,201,PIRTLEVILLE,AZ,US,174148,N,31,20,54.4,W,109,28,48.2,"RADIO BILINGUE, INC.",-109.48005555555555,31.348444444444443
38,K202BU,FX,201,QUARTZSITE,AZ,US,16763,N,33,40,3.1,W,114,3,35.7,"ADVANCE MINISTRIES, INC. D/B/A",-114.05991666666667,33.66752777777778
39,KNNB,FM,201,WHITERIVER,AZ,US,2406,N,33,45,47.1,W,109,57,41.3,APACHE RADIO BROADCASTING CORPORATION,-109.96147222222223,33.763083333333334
40,KCFY,FM,201,YUMA,AZ,US,70454,N,32,38,31.2,W,114,33,36.8,"RELEVANT MEDIA, INC.",-114.56022222222222,32.642
41,KRTM,FM,201,BANNING,CA,US,91840,N,34,2,16.0,W,116,48,51.1,"PENFOLD COMMUNICATIONS, INC.",-116.81419444444444,34.03777777777778
42,K201BV,FX,201,BENICIA-MARTINEZ,CA,US,35499,N,38,0,24.7,W,122,8,37.8,KQED INC.,-122.14383333333333,38.006861111111114
43,KWTF,FM,201,BODEGA BAY,CA,US,175619,N,38,21,42.6,W,122,58,46.9,KWTF RADIO,-122.97969444444445,38.36183333333334
44,KDUP,FM,201,CEDARVILLE,CA,US,172273,N,41,38,12.6,W,120,5,31.7,OPENSKYRADIO CORP.,-120.09213888888888,41.636833333333335
45,K201AD,FX,201,"CHINA LAKE, ETC.",CA,US,28593,N,35,28,47.8,W,117,41,2.2,"INDIAN WELLS VALLEY TV BOOSTER, INC.",-117.68394444444445,35.47994444444445
46,KECG,FM,201,EL CERRITO,CA,US,19081,N,37,54,19.7,W,122,17,37.8,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT,-122.29383333333332,37.90547222222222
47,KMUE,FM,201,EUREKA,CA,US,55429,N,40,43,38.5,W,123,58,21.2,REDWOOD COMMUNITY RADIO,-123.97255555555556,40.727361111111115
48,K201HR,FX,201,FORT BRAGG,CA,US,41159,N,39,28,2.5,W,123,45,38.0,MENDOCINO COUNTY PUBLIC BROADCASTING,-123.76055555555556,39.46736111111111
49,KFCF,FM,201,FRESNO,CA,US,22641,N,37,4,22.8,W,119,25,54.4,FRESNO FREE COLLEGE FOUNDATION,-119.43177777777778,37.073
50,KPFZ-FM,FM,201,LAKEPORT,CA,US,90952,N,38,59,22.6,W,122,46,8.9,LAKE COUNTY COMMUNITY RADIO INC,-122.76913888888889,38.98961111111111
51,KLWG,FM,201,LOMPOC,CA,US,90485,N,34,54,35.9,W,120,11,13.5,CALVARY CHAPEL OF LOMPOC,-120.18708333333333,34.90997222222222
52,KLWG,FS,201,LOMPOC,CA,US,90485,N,34,36,12.9,W,120,29,20.6,CALVARY CHAPEL OF LOMPOC,-120.48905555555555,34.60358333333333
53,KKJZ,FM,201,LONG BEACH,CA,US,8197,N,33,47,58.1,W,118,9,46.2,"CALIFORNIA STATE UNIV., LONG BEACH RESEARCH FOUNDATION",-118.16283333333334,33.79947222222222
54,K201FW,FX,201,LOS GATOS,CA,US,93377,N,37,9,49.8,W,121,55,5.8,CSN INTERNATIONAL,-121.91827777777779,37.16383333333333
55,-,FM,201,LUCERNE VALLEY,CA,US,768305,N,34,24,11.9,W,116,57,47.0,"ONDAS DE VIDA, INC.",-116.96305555555556,34.403305555555555
56,KDDF,FM,201,MECCA,CA,US,171299,N,33,32,22.9,W,116,1,34.9,EL SEMBRADOR MINISTRIES,-116.02636111111111,33.53969444444444
57,KCRY,FM,201,MOJAVE,CA,US,59092,N,35,7,19.9,W,118,12,28.3,SANTA MONICA COMMUNITY COLLEGE DISTRICT,-118.20786111111111,35.122194444444446
58,-,FM,201,MOUNT LAGUNA,CA,US,767224,N,32,53,31,W,116,25,11,CALVARY CHAPEL PEARL HARBOR,-116.41972222222223,32.89194444444444
59,KNSQ,FM,201,MOUNT SHASTA,CA,US,62957,N,41,13,18.5,W,122,18,31.0,SOUTHERN OREGON UNIVERSITY,-122.3086111111111,41.221805555555555
60,K201IH,FX,201,NAPA,CA,US,91413,N,38,15,50.7,W,122,12,57.9,CSN INTERNATIONAL,-122.21608333333333,38.26408333333333
61,KQNC,FM,201,QUINCY,CA,US,122435,N,39,56,13.6,W,120,56,54.8,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO",-120.94855555555556,39.93711111111111
62,K201IS,FX,201,RINCON,CA,US,91871,N,33,18,30.1,W,116,50,56.0,CSN INTERNATIONAL,-116.84888888888888,33.30836111111111
63,K201ES,FX,201,RIPLEY/BLYTHE,CA,US,90670,N,33,37,3.1,W,114,46,23.9,CSN INTERNATIONAL,-114.77330555555555,33.61752777777778
64,KEBR,FM,201,SACRAMENTO,CA,US,20746,N,38,14,49.7,W,121,30,6.8,"FAMILY STATIONS, INC.",-121.50188888888889,38.24713888888889
65,KSRH,FM,201,SAN RAFAEL,CA,US,58923,N,37,58,15.7,W,122,30,50.9,SAN RAFAEL HIGH SCHOOL,-122.5141388888889,37.97102777777778
66,KZSC,FM,201,SANTA CRUZ,CA,US,66310,N,37,0,9.8,W,122,3,7.8,REGENTS OF THE UNIVERSITY OF CALIFORNIA,-122.05216666666666,37.002722222222225
67,KZSC,FS,201,SANTA CRUZ,CA,US,66310,N,37,0,9.8,W,122,3,7.8,REGENTS OF THE UNIVERSITY OF CALIFORNIA,-122.05216666666666,37.002722222222225
68,K201AJ,FX,201,"SOUTH LAKE TAHOE, ET",CA,US,8353,N,38,54,59.7,W,119,57,47.6,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO",-119.96322222222223,38.916583333333335
69,K201FV,FX,201,TRUCKEE,CA,US,87063,N,39,19,33.4,W,120,11,59.1,BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER EDUCATION,-120.19975000000001,39.325944444444445
70,K201IL,FX,201,BRECKENRIDGE,CO,US,90004,N,39,37,48.9,W,106,2,51.0,COMMUNITY RADIO FOR NORTHERN COLORADO,-106.0475,39.630250000000004
71,K201FK,FX,201,BURLINGTON,CO,US,92415,N,39,17,41.0,W,102,15,38.7,CSN INTERNATIONAL,-102.26075,39.29472222222222
72,KDNK,FM,201,GLENWOOD SPRINGS,CO,US,88445,N,39,25,7.9,W,107,22,12.1,"CARBONDALE COMMUNITY ACCESS RADIO, INC.",-107.37002777777776,39.418861111111106
73,KAFM,FM,201,GRAND JUNCTION,CO,US,24780,N,39,3,59.9,W,108,44,43.4,"GRAND VALLEY PUBLIC RADIO, INC.",-108.7453888888889,39.06663888888889
74,K201HV,FX,201,JANSEN,CO,US,78198,N,37,14,14.1,W,104,30,53.9,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.",-104.51497222222223,37.23725
75,KVOD,FM,201,LAKEWOOD,CO,US,83535,N,39,43,58.0,W,105,14,10.0,"PUBLIC BROADCASTING OF COLORADO, INC.",-105.23611111111111,39.73277777777778
76,K201HJ,FX,201,LINCOLN PARK,CO,US,106685,N,38,25,20.0,W,105,9,7.0,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.",-105.15194444444445,38.42222222222222
77,K201EC,FX,201,MANITOU SPRINGS,CO,US,18884,N,38,53,9.9,W,104,53,25.9,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.",-104.89052777777779,38.88608333333333
78,KPGS,FM,201,PAGOSA SPRINGS,CO,US,123206,N,37,11,48.0,W,107,7,3.1,"KUTE, INC.",-107.11752777777777,37.196666666666665
79,KMPZ,FM,201,SALIDA,CO,US,175217,N,38,26,47.9,W,106,0,38.0,"CHEYENNE MOUNTAIN PUBLIC BROADCAST HOUSE, INC.",-106.01055555555556,38.446638888888884
80,K201IP,FX,201,STERLING,CO,US,92423,N,40,31,57.0,W,103,7,23.8,CSN INTERNATIONAL,-103.12327777777777,40.5325
81,KHTU,FM,201,WRAY,CO,US,176806,N,40,3,30.0,W,102,11,23.7,HOME TOWN RADIO,-102.18991666666668,40.05833333333333
82,KHTU,FM,201,WRAY,CO,US,176806,N,40,4,23.9,W,102,14,4.6,HOME TOWN RADIO,-102.23461111111111,40.07330555555556
83,WESU,FM,201,MIDDLETOWN,CT,US,71537,N,41,33,12.3,W,72,39,27.3,WESLEYAN,-72.65758333333333,41.553416666666664
84,WMNR,FM,201,MONROE,CT,US,43531,N,41,19,8.3,W,73,15,11.4,"TOWN OF MONROE, CONNECTICUT",-73.25316666666667,41.31897222222223
85,WMNR,FS,201,MONROE,CT,US,43531,N,41,20,29.9,W,73,16,28.0,"TOWN OF MONROE, CONNECTICUT",-73.27444444444444,41.341638888888895
86,WMNR,FS,201,MONROE,CT,US,43531,N,41,19,8.3,W,73,15,11.4,"TOWN OF MONROE, CONNECTICUT",-73.25316666666667,41.31897222222223
87,WMHS,FM,201,PIKE CREEK,DE,US,90384,N,39,45,27.4,W,75,40,0.7,RED CLAY CONSOLIDATED SCHOOL DISTRICT,-75.66686111111112,39.75761111111111
88,WJIS,FM,201,BRADENTON,FL,US,54857,N,27,7,55.1,W,82,23,38.3,"RADIO TRAINING NETWORK, INC.",-82.39397222222223,27.131972222222224
89,WUBA,FM,201,HIGH SPRINGS,FL,US,175104,N,29,48,33.8,W,82,36,25.4,"NEIGHBORHOODS UNITED FOR A BETTER ALACHUA, INC.",-82.60705555555555,29.80938888888889
90,WRGP,FM,201,HOMESTEAD,FL,US,21777,N,25,32,25.3,W,80,28,6.2,FLORIDA INTERNATIONAL UNIVERSITY BOARD OF TRUSTEES,-80.4683888888889,25.540361111111114
91,WCRJ,FM,201,JACKSONVILLE,FL,US,48390,N,30,16,34.9,W,81,33,50.3,"RADIO TRAINING NETWORK, INC.",-81.56397222222222,30.27636111111111
92,WHIJ,FM,201,OCALA,FL,US,40160,N,29,14,16.9,W,82,7,15.3,"RADIO TRAINING NETWORK, INC.",-82.12091666666666,29.238027777777777
93,WUWF,FM,201,PENSACOLA,FL,US,66570,N,30,24,13.7,W,86,59,33.9,THE UNIVERSITY OF WEST FLORIDA,-86.99275,30.403805555555554
94,WUWF,FS,201,PENSACOLA,FL,US,66570,N,30,32,37.8,W,87,13,12.7,THE UNIVERSITY OF WEST FLORIDA,-87.22019444444445,30.543833333333335
95,WMKJ,FM,201,TAVERNIER,FL,US,175531,N,24,59,25.4,W,80,32,26.2,"CALL COMMUNICATIONS GROUP, INC.",-80.5406111111111,24.99038888888889
96,-,FM,201,WEEKI WACHEE,FL,US,768626,N,28,37,18.7,W,82,33,1.0,-,-82.55027777777778,28.621861111111112
97,-,FM,201,WEEKI WACHEE,FL,US,768712,N,28,36,49.0,W,82,30,5.0,-,-82.50138888888888,28.613611111111112
98,-,FM,201,WEEKI WACHEE,FL,US,762579,N,28,33,29.7,W,82,31,47.9,-,-82.52997222222223,28.55825
99,-,FM,201,WEEKI WACHEE,FL,US,768183,N,28,34,55.8,W,82,31,44.2,-,-82.52894444444445,28.582166666666666
100,WAYF,FM,201,WEST PALM BEACH,FL,US,61507,N,26,35,21.2,W,80,12,43.2,HOPE MEDIA GROUP,-80.212,26.589222222222222
101,W201CC,FX,201,BUFORD,GA,US,91293,N,34,6,20.4,W,83,55,48.7,CSN INTERNATIONAL,-83.93019444444445,34.10566666666667
102,W201DJ,FX,201,DOUGLAS,GA,US,152243,N,31,32,44.7,W,82,53,29.5,"RADIO BY GRACE, INC.",-82.89152777777778,31.54575
103,WNEE,FM,201,PATTERSON,GA,US,122086,N,34,0,43.4,W,83,17,37.5,"COMMUNITY PUBLIC RADIO, INC.",-83.29375,34.012055555555555
104,WLXP,FM,201,SAVANNAH,GA,US,81997,N,32,3,48.8,W,81,2,55.4,"CHRISTIAN MULTIMEDIA NETWORK, INC.",-81.04872222222222,32.06355555555555
105,WRJS,FM,201,SOPERTON,GA,US,174547,N,32,21,20.6,W,82,37,6.5,GRACE MISSIONARY BAPTIST CHURCH D/B/A GRACE CHRISTIAN SCHOOL,-82.61847222222221,32.35572222222223
106,WAYT,FM,201,THOMASVILLE,GA,US,61193,N,30,40,6.7,W,83,58,9.6,HOPE MEDIA GROUP,-83.96933333333334,30.66852777777778
107,WJSP-FM,FM,201,WARM SPRINGS,GA,US,23927,N,32,51,8.5,W,84,42,3.7,GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION,-84.70102777777778,32.852361111111115
108,W201DM,FX,201,WOODSTOCK,GA,US,122159,N,34,3,59.3,W,84,27,13.7,CSN INTERNATIONAL,-84.45380555555556,34.06647222222222
116,-,FM,201,BELMOND,IA,US,768428,N,42,55,28.0,W,93,48,22.5,"PARK PUBLIC RADIO, INC.",-93.80624999999999,42.92444444444444
117,-,FM,201,BURLINGTON,IA,US,765261,N,40,46,2.2,W,90,55,27.0,-,-90.92416666666666,40.76727777777778
118,-,FM,201,BURLINGTON,IA,US,767007,N,40,45,08.94,W,91,07,34.09,-,-91.12613611111111,40.75248333333333
119,KDPS,FM,201,DES MOINES,IA,US,16720,N,41,35,2.0,W,93,38,29.5,DES MOINES INDEPENDENT SCHOOL DISTRICT,-93.64152777777778,41.58388888888889
120,KICB,FM,201,FORT DODGE,IA,US,29059,N,42,29,26.8,W,94,12,1.8,IOWA CENTRAL COMMUNITY COLLEGE,-94.2005,42.49077777777778
121,KQLF,FM,201,OTTUMWA,IA,US,85844,N,41,2,2.1,W,92,24,34.7,"SOUND IN SPIRIT BROADCASTING, INC.",-92.40963888888889,41.03391666666666
122,KOIA,FM,201,STORM LAKE,IA,US,177197,N,42,40,5.9,W,94,59,36.0,"SAINT GABRIEL COMMUNICATIONS, LTD",-94.99333333333334,42.668305555555555
123,KBBG,FM,201,WATERLOO,IA,US,597,N,42,30,44.9,W,92,19,24.6,"AFRO AMERICAN COMMUNITY BROADCASTING, INC.",-92.3235,42.51247222222222
124,KTFY,FM,201,BUHL,ID,US,91839,N,42,43,47.7,W,114,25,9.1,"IDAHO CONFERENCE OF SEVENTH-DAY ADVENTISTS, INC.",-114.41919444444444,42.72991666666667
125,KRRB,FM,201,KUNA,ID,US,88927,N,43,37,14.5,W,117,12,38.5,"PENSACOLA CHRISTIAN COLLEGE, INC.",-117.21069444444444,43.620694444444446
126,K201IG,FX,201,REXBURG,ID,US,152310,N,43,47,57.7,W,111,46,34.9,IDAHO STATE UNIVERSITY,-111.77636111111111,43.79936111111111
127,-,FM,201,ARROWSMITH,IL,US,768271,N,40,28,38.0,W,88,33,14.0,2820 COMMUNICATIONS INC,-88.55388888888889,40.477222222222224
128,WESN,FM,201,BLOOMINGTON,IL,US,28319,N,40,29,28.1,W,88,59,37.2,ILLINOIS WESLEYAN UNIVERSITY,-88.99366666666667,40.49113888888889
129,WWTG,FM,201,CARPENTERSVILLE,IL,US,93049,N,42,6,21.1,W,88,22,38.3,CARY GROVE ADVENTIST FELLOWSHIP,-88.37730555555555,42.10586111111111
130,WZGL,FM,201,CHARLESTON,IL,US,83381,N,39,28,38.1,W,88,8,25.1,-,-88.14030555555556,39.477250000000005
131,WCRX,FM,201,CHICAGO,IL,US,12424,N,41,52,22.1,W,87,38,52.1,COLUMBIA COLLEGE,-87.64780555555556,41.87280555555556
132,WCRX,FM,201,CHICAGO,IL,US,12424,N,41,52,27.9,W,87,37,29.5,COLUMBIA COLLEGE,-87.6248611111111,41.87441666666667
133,WBMF,FM,201,CRETE,IL,US,89339,N,41,25,17.1,W,87,38,39.2,"FAMILY WORSHIP CENTER CHURCH, INC.",-87.64422222222223,41.421416666666666
134,WNLD,FM,201,DECATUR,IL,US,28294,N,39,48,35.1,W,88,59,31.3,-,-88.99202777777778,39.809749999999994
135,WAXR,FM,201,GENESEO,IL,US,86861,N,41,28,47.1,W,90,16,8.4,AMERICAN FAMILY ASSOCIATION,-90.269,41.47975
136,-,FM,201,GILMAN,IL,US,766909,N,40,46,56.2,W,87,55,49.55,FAITH BAPTIST CHURCH,-87.93043055555556,40.78227777777778
137,WIHM-FM,FM,201,HARRISBURG,IL,US,175887,N,37,43,3.0,W,88,32,37.0,COVENANT NETWORK,-88.5436111111111,37.7175
138,W201BL,FX,201,JACKSONVILLE,IL,US,83550,N,39,43,18.2,W,90,11,45.4,"FAMILY WORSHIP CENTER CHURCH, INC.",-90.19594444444445,39.721722222222226
139,WLTL,FM,201,LA GRANGE,IL,US,39369,N,41,48,45.1,W,87,52,51.2,LYONS TOWNSHIP HIGH SCHOOL,-87.88088888888888,41.812527777777774
140,WLRA,FM,201,LOCKPORT,IL,US,37190,N,41,36,10.1,W,88,4,49.2,LEWIS UNIVERSITY,-88.08033333333333,41.602805555555555
141,WPTH,FM,201,OLNEY,IL,US,50292,N,38,41,50.2,W,88,2,13.1,"VCY AMERICA, INC.",-88.03697222222222,38.69727777777778
142,WLWJ,FM,201,PETERSBURG,IL,US,89735,N,40,0,5.2,W,89,41,49.4,"GOOD NEWS RADIO, INC.",-89.69705555555556,40.001444444444445
143,WTZI,FM,201,ROSEMONT,IL,US,173970,N,41,57,20.1,W,87,52,2.2,RADIOED,-87.86727777777777,41.95558333333334
144,WSOG,FM,201,SPRING VALLEY,IL,US,91823,N,41,17,32.1,W,89,7,59.3,-,-89.13313888888888,41.292249999999996
145,WLWX,FM,201,WHEATON,IL,US,66499,N,41,52,9.1,W,88,5,56.2,EDUCATIONAL MEDIA FOUNDATION,-88.09894444444444,41.869194444444446
146,-,FM,201,WILMINGTON,IL,US,766365,N,41,19,21.0,W,88,6,34.0,"2820 COMMUNICATIONS, INC.",-88.10944444444443,41.322500000000005
147,WNTH,FM,201,WINNETKA,IL,US,6052,N,42,5,38.9,W,87,43,8.5,BOARD OF EDUCATION NEW TRIER TOWNSHIP DISTRICT 203,-87.71902777777778,42.09413888888889
148,WVPE,FM,201,ELKHART,IN,US,19365,N,41,36,49.2,W,86,11,20.0,ELKHART COMMUNITY SCHOOLS,-86.1888888888889,41.61366666666667
149,WMBL,FM,201,MITCHELL,IN,US,84103,N,38,45,50.1,W,86,31,14.9,THE MOODY BIBLE INSTITUTE OF CHICAGO,-86.52080555555555,38.76391666666667
150,WNAP-FM,FM,201,MORRISTOWN,IN,US,91193,N,39,42,22.1,W,85,29,40.7,"NEW BEGINNINGS MOVEMENT, INC.",-85.49463888888889,39.706138888888894
151,WNAS,FM,201,NEW ALBANY,IN,US,48372,N,38,17,56.2,W,85,48,44.8,NEW ALBANY-FLOYD CTY.CON.SCH.CORP.,-85.81244444444444,38.298944444444444
152,WKRY,FM,201,VERSAILLES,IN,US,91416,N,39,4,6.2,W,85,15,57.9,GOOD SHEPHERD RADIO INC.,-85.26608333333333,39.06838888888889
153,W201BO,FX,201,VINCENNES,IN,US,83658,N,38,41,2.2,W,87,26,8.1,BETHEL BAPTIST CHURCH,-87.43558333333334,38.68394444444444
154,WSRC,FM,201,WAYNETOWN,IN,US,92984,N,40,9,0.1,W,86,54,14.0,"CALVARY CHAPEL OF CRAWFORDSVILLE, INC.",-86.9038888888889,40.15002777777778
155,KZCK,FM,201,COLBY,KS,US,175547,N,39,21,4.0,W,101,3,14.6,"THE PRAISE NETWORK, INC.",-101.05405555555555,39.35111111111111
156,KBTL,FM,201,EL DORADO,KS,US,83259,N,37,48,16.1,W,96,53,3.1,BUTLER COUNTY COMMUNITY COLLEGE,-96.88419444444445,37.804472222222216
157,KRTT,FM,201,GREAT BEND,KS,US,173828,N,38,21,46.0,W,98,45,51.3,"DIVINE MERCY RADIO, INC.",-98.76425,38.36277777777778
158,KVDM,FM,201,HAYS,KS,US,177158,N,38,57,29.0,W,99,21,8.0,"DIVINE MERCY RADIO, INC.",-99.35222222222221,38.95805555555556
159,KJVL,FM,201,HUTCHINSON,KS,US,174370,N,38,3,16.0,W,97,55,51.2,"GREAT PLAINS CHRISTIAN RADIO, INC.",-97.93088888888889,38.05444444444444
160,KBCU,FM,201,NORTH NEWTON,KS,US,4987,N,38,4,26.0,W,97,20,36.1,BETHEL COLLEGE,-97.34336111111111,38.073888888888895
161,KJTY,FM,201,TOPEKA,KS,US,32368,N,39,2,21.0,W,95,26,59.9,"FAMILY LIFE BROADCASTING, INC.",-95.44997222222223,39.03916666666667
162,KLCM,FM,201,ULYSSES,KS,US,766517,N,37,35,29.8,W,101,21,27.5,LIBERTAD EN CRISTO MINISTRIES,-101.35763888888889,37.59161111111111
163,-,FM,201,ULYSSES,KS,US,766517,N,37,32,48.2,W,101,18,14.0,LIBERTAD EN CRISTO MINISTRIES,-101.30388888888889,37.54672222222222
164,WAYD,FM,201,AUBURN,KY,US,93017,N,36,57,37.2,W,86,32,49.0,HOPE MEDIA GROUP,-86.54694444444445,36.96033333333334
165,WTRT,FM,201,BENTON,KY,US,88122,N,36,48,36.1,W,88,21,33.1,"HEARTLAND MINISTRIES, INC.",-88.35919444444444,36.810027777777776
166,W201DD,FX,201,CENTRAL CITY,KY,US,147296,N,37,17,30.1,W,87,6,29.9,HOPE MEDIA GROUP,-87.10830555555555,37.291694444444445
167,WDFB-FM,FM,201,DANVILLE,KY,US,1199,N,37,35,46.2,W,84,50,18.8,ALUM SPRINGS EDUCATIONAL CORPORATION,-84.83855555555554,37.59616666666667
168,-,FM,201,HARLAN,KY,US,762690,N,36,48,05,W,83,22,37,"TORSTRICK MINISTRIES, INC.",-83.37694444444443,36.80138888888889
169,-,FM,201,HODGENVILLE,KY,US,767558,N,37,32,17.8,W,85,43,44.5,FREEDOM'S WAY ASSEMBLY OF GOD,-85.72902777777777,37.53827777777778
170,WRFL,FM,201,LEXINGTON,KY,US,54586,N,38,2,19.3,W,84,30,15.8,"BOARD OF TRUSTEES, UNIVERSITY OF KENTUCKY",-84.50438888888888,38.038694444444445
171,WAXG,FM,201,MOUNT STERLING,KY,US,82988,N,38,3,39.3,W,83,57,19.7,AMERICAN FAMILY ASSOCIATION,-83.95547222222223,38.060916666666664
172,WKVY,FM,201,SOMERSET,KY,US,93774,N,37,4,36.3,W,84,48,38.8,EDUCATIONAL MEDIA FOUNDATION,-84.81077777777777,37.076750000000004
173,KAYT,FM,201,JENA,LA,US,18556,N,31,33,55.6,W,92,33,0.5,"BLACK MEDIA WORKS, INC.",-92.55013888888888,31.565444444444445
174,K201FO,FX,201,JENNINGS,LA,US,92353,N,30,11,30.7,W,92,37,17.5,CSN INTERNATIONAL,-92.62152777777777,30.191861111111113
175,KPAQ,FM,201,PLAQUEMINE,LA,US,86794,N,30,15,41.7,W,91,18,40.4,AMERICAN FAMILY ASSOCIATION,-91.31122222222221,30.261583333333334
176,WMBR,FM,201,CAMBRIDGE,MA,US,64683,N,42,21,42.1,W,71,5,7.9,TECHNOLOGY BROADCASTING CORPORATION,-71.08552777777777,42.361694444444446
177,-,FM,201,LEE,MA,US,768412,N,42,17,55,W,73,17,26,"PITTSFIELD COMMUNITY CABLE BROADCASTING, INC",-73.29055555555556,42.29861111111111
178,-,FM,201,NANTUCKET,MA,US,767390,N,41,17,6.0,W,70,8,23.0,"NANTUCKET PUBLIC RADIO, INC.",-70.13972222222223,41.285
179,WFHL,FM,201,NEW BEDFORD,MA,US,87375,N,41,38,15.4,W,70,52,17.1,"NEW BEDFORD CHRISTIAN RADIO, INC.",-70.87141666666666,41.63761111111111
180,WCHC,FM,201,WORCESTER,MA,US,65560,N,42,14,15.3,W,71,48,29.2,COLLEGE OF THE HOLY CROSS,-71.8081111111111,42.23758333333333
181,WYPR,FM,201,BALTIMORE,MD,US,65753,N,39,19,53.4,W,76,39,26.9,WYPR LICENSE HOLDING LLC,-76.65747222222222,39.331500000000005
182,WYPF,FM,201,FREDERICK,MD,US,32360,N,39,29,31.4,W,77,29,59.0,YOUR PUBLIC RADIO CORPORATION,-77.49972222222222,39.49205555555556
183,WGWS,FM,201,ST. MARY'S CITY,MD,US,172973,N,38,8,43.5,W,76,22,20.8,CSN INTERNATIONAL,-76.37244444444444,38.14541666666667
184,WMEY,FM,201,BOWDOIN,ME,US,123284,N,44,6,28.3,W,69,55,27.2,"LIGHT OF LIFE MINISTRIES, INC.",-69.92422222222223,44.10786111111111
185,WMEK,FM,201,KENNEBUNKPORT,ME,US,171239,N,43,25,5.2,W,70,48,2.3,WORD RADIO EDUCATIONAL FOUNDATION,-70.80063888888888,43.41811111111111
186,W201CF,FX,201,BALDWIN,MI,US,91284,N,43,54,2.0,W,85,45,34.2,CSN INTERNATIONAL,-85.7595,43.900555555555556
187,WBFH,FM,201,BLOOMFIELD HILLS,MI,US,5872,N,42,34,40.1,W,83,17,9.8,BLOOMFIELD HILLS SCHOOL DISTRICT,-83.28605555555555,42.57780555555556
188,NEW,FX,201,CLAM TOWNSHIP,MI,US,123032,N,44,14,56.0,W,85,18,48.2,SMILE FM,-85.31338888888888,44.24888888888889
189,-,FM,201,ESCANABA,MI,US,767419,N,45,44,49,W,87,4,40,-,-87.07777777777777,45.746944444444445
190,WBLW,FM,201,GAYLORD,MI,US,91339,N,45,10,12.0,W,84,45,4.1,"GRACE BAPTIST CHURCH OF GAYLORD, MICHIGAN",-84.75113888888889,45.169999999999995
191,WHYT,FM,201,GOODLAND TOWNSHIP,MI,US,84187,N,43,10,31.9,W,83,4,2.4,SMILE FM,-83.06733333333332,43.17552777777777
192,WHYT,FM,201,GOODLAND TOWNSHIP,MI,US,84187,N,43,10,30.1,W,83,4,1.8,SMILE FM,-83.06716666666667,43.17502777777778
