,Callsign,Service,Channel,City,State,Country,Facility ID Number (unique to each station),N (North) or S (South) Latitude,Degrees Latitude,Minutes Latitude,Seconds Latitude,W (West) or (E) East Longitude,Degrees Longitude,Minutes Longitude,Seconds Longitude,Licensee or Permittee,long_decimal,lat_decimal
12279,WYHX,FM,242,INDIANAPOLIS,IN,US,60207,N,39,46,32.7,W,86,9,9.4,"BIBLE BROADCASTING NETWORK, INC.",-86.15261111111111,39.77575
12280,WYHX,FS,242,INDIANAPOLIS,IN,US,60207,N,39,42,42.2,W,86,8,44.9,"BIBLE BROADCASTING NETWORK, INC.",-86.14580555555557,39.71172222222223
12281,KZDY,FM,242,CAWKER CITY,KS,US,87228,N,39,30,29.0,W,98,18,58.2,"DIERKING COMMUNICATIONS, INC.",-98.31616666666666,39.50805555555556
12282,KZCH,FM,242,DERBY,KS,US,53599,N,37,43,6.0,W,97,19,6.2,"IHM LICENSES, LLC",-97.31838888888889,37.718333333333334
12283,KZCH,FS,242,DERBY,KS,US,53599,N,37,43,5.0,W,97,19,6.2,"IHM LICENSES, LLC",-97.31838888888889,37.71805555555556
12284,KERP,FM,242,INGALLS,KS,US,82681,N,37,56,30.1,W,100,18,45.5,"ROCKING M MEDIA, LLC",-100.31263888888888,37.941694444444444
12285,K242BM,FX,242,IOLA,KS,US,142058,N,37,57,24.1,W,95,22,16.9,"COMMUNITY BROADCASTING, INC.",-95.3713611111111,37.956694444444445
12286,K242AK,FX,242,LIBERAL,KS,US,33365,N,37,3,13.5,W,100,51,24.0,"KANZA SOCIETY, INC.",-100.85666666666665,37.053749999999994
12287,KACZ,FM,242,RILEY,KS,US,88543,N,39,13,34.0,W,96,37,1.0,"MANHATTAN BROADCASTING CO., INC.",-96.61694444444444,39.226111111111116
12288,K242AP,FX,242,ST. FRANCIS,KS,US,33376,N,39,45,33.0,W,101,42,1.6,"KANZA SOCIETY, INC.",-101.70044444444444,39.759166666666665
12289,W242BR,FX,242,HARLAN,KY,US,158297,N,36,54,3.3,W,83,18,13.6,EASTERN KENTUCKY UNIVERSITY,-83.30377777777778,36.90091666666667
12290,WIVY,FM,242,MOREHEAD,KY,US,23344,N,38,10,33.2,W,83,24,27.6,"GATEWAY RADIO WORKS, INC.",-83.40766666666667,38.175888888888885
12291,W242CX,FX,242,PADUCAH,KY,US,201098,N,37,2,56.0,W,88,36,52.0,"BRISTOL BROADCASTING COMPANY, INC.",-88.61444444444444,37.04888888888889
12292,WXKY,FM,242,STANFORD,KY,US,37560,N,37,31,27.3,W,84,52,11.8,EDUCATIONAL MEDIA FOUNDATION,-84.86994444444444,37.52425
12293,K242CE,FX,242,MERAUX,LA,US,146875,N,29,57,1.2,W,90,4,16.3,"IHM LICENSES, LLC",-90.07119444444444,29.950333333333333
12294,K242CE,FX,242,MERAUX,LA,US,146875,N,29,57,1.2,W,90,4,16.3,"IHM LICENSES, LLC",-90.07119444444444,29.950333333333333
12295,KOUS-LP,FL,242,MONROE,LA,US,124733,N,32,26,4.5,W,92,6,17.4,"MAHOGONY'S INCUBATION SYSTEM, INC",-92.10483333333333,32.43458333333333
12296,K242DA,FX,242,RUSTON,LA,US,200152,N,32,30,48.5,W,92,39,56.5,RED PEACH LLC,-92.66569444444445,32.51347222222222
12297,W242AA,FX,242,BEACON HILL,MA,US,72093,N,42,21,42.1,W,71,5,7.9,WGBH EDUCATIONAL FOUNDATION,-71.08552777777777,42.361694444444446
12298,WEII,FM,242,DENNIS,MA,US,54037,N,41,43,44.4,W,70,10,0.1,-,-70.16669444444445,41.729
12299,WEII,FS,242,DENNIS,MA,US,54037,N,41,43,44.4,W,70,10,0.1,-,-70.16669444444445,41.729
12300,WJOP-LP,FL,242,NEWBURYPORT,MA,US,191764,N,42,48,45.2,W,70,53,10.4,NEWBURYPORT COMMUNITY MEDIA CENTER,-70.88622222222223,42.812555555555555
12301,W242AT,FX,242,WILLIAMSTOWN,MA,US,142211,N,42,42,36.2,W,73,12,10.3,UNIVERSITY OF MASSACHUSETTS,-73.20286111111112,42.710055555555556
12302,W242AR,FX,242,HANCOCK,MD,US,145549,N,39,42,36.3,W,78,10,10.0,"SPLENDOR OF TRUTH RADIO, INC.",-78.16944444444445,39.71008333333334
12303,W242AD,FX,242,OAKLAND,MD,US,22792,N,39,24,14.3,W,79,17,36.1,FROSTBURG STATE UNIVERSITY,-79.29336111111111,39.40397222222222
12304,WXSU-LP,FL,242,SALISBURY,MD,US,124825,N,38,22,31.4,W,75,39,29.7,SALISBURY UNIVERSITY,-75.65825000000001,38.37538888888889
12305,WJJB-FM,FM,242,GRAY,ME,US,9180,N,44,15,3.3,W,70,25,14.2,"ATLANTIC COAST RADIO, LLC",-70.42061111111111,44.25091666666667
12306,WDVD,FM,242,DETROIT,MI,US,8631,N,42,27,13.1,W,83,9,49.7,RADIO LICENSE HOLDINGS LLC,-83.16380555555556,42.45363888888889
12307,WDVD,FS,242,DETROIT,MI,US,8631,N,42,28,16.1,W,83,12,2.7,RADIO LICENSE HOLDINGS LLC,-83.20075,42.47113888888889
12308,NEW,FM,242,HOUGHTON,MI,US,762384,N,47,2,11.0,W,88,41,43.0,HOUGHTON COMMUNITY BROADCASTING CORPORATION,-88.69527777777778,47.03638888888889
12309,WKLA-FM,FM,242,LUDINGTON,MI,US,191495,N,43,55,1.0,W,86,26,12.3,"SYNERGY MEDIA, INC",-86.43675,43.91694444444444
12310,W242BH,FX,242,MARSHALL,MI,US,145241,N,42,19,53.1,W,85,7,48.0,SMILE FM,-85.13,42.33141666666667
12311,WLXT,FM,242,PETOSKEY,MI,US,65926,N,45,19,17.0,W,84,52,33.2,"MACDONALD GARBER BROADCASTING, INC",-84.87588888888888,45.32138888888889
12312,W242DB,FX,242,BAXTER,MN,US,202395,N,46,19,58.9,W,94,11,31.0,-,-94.19194444444445,46.33302777777778
12313,KMWA,FM,242,EDINA,MN,US,70705,N,45,1,23.9,W,93,22,53.8,EDUCATIONAL MEDIA FOUNDATION,-93.3816111111111,45.02330555555555
12314,KMWA,FS,242,EDINA,MN,US,70705,N,44,58,33.9,W,93,16,20.8,EDUCATIONAL MEDIA FOUNDATION,-93.27244444444445,44.976083333333335
12315,WYSG-LP,FL,242,HINCKLEY,MN,US,127128,N,46,0,50.8,W,92,55,45.7,HINCKLEY ADVENTIST BROADCASTING CORPORATION,-92.92936111111112,46.01411111111111
12316,K242AY,FX,242,WALKER,MN,US,143005,N,47,4,43.8,W,94,35,26.0,"DE LA HUNT MEDIA, INC.",-94.59055555555555,47.078833333333336
12317,K242AY,FX,242,WALKER,MN,US,143005,N,47,4,43.8,W,94,35,26.0,"DE LA HUNT MEDIA, INC.",-94.59055555555555,47.078833333333336
12318,K242CF,FX,242,WILLMAR,MN,US,78070,N,45,8,6.9,W,95,2,29.0,LAKELAND BROADCASTING COMPANY,-95.04138888888889,45.13525
